CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
LY,971,EL AL ISRAEL AIRLINES,2024-02-04T05:50:00,2024-02-04T06:17:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,34-55,B,DEPARTED,המריאה
IZ,771,ARKIA  ISRAELI  AIRLINES,2024-02-04T05:55:00,2024-02-04T06:27:00,D,GNB,GRENOBLE-SAUNT GEOIRS,גרנובל,GRENOBLE,צרפת,FRANCE,3,29-33,A,DEPARTED,המריאה
LY,345,EL AL ISRAEL AIRLINES,2024-02-04T06:10:00,2024-02-04T06:30:00,D,GVA,GENEVA,ז'נבה,GENEVA,שוויץ,SWITZERLAND,3,34-55,B,DEPARTED,המריאה
AM,7864,AERO MEXICO,2024-02-04T06:05:00,2024-02-04T06:35:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,34-55,B,DEPARTED,המריאה
LY,337,EL AL ISRAEL AIRLINES,2024-02-04T06:05:00,2024-02-04T06:35:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,34-55,B,DEPARTED,המריאה
SK,3155,SAS,2024-02-04T06:05:00,2024-02-04T06:35:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,34-55,B,DEPARTED,המריאה
LY,2371,EL AL ISRAEL AIRLINES,2024-02-04T06:00:00,2024-02-04T06:38:00,D,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,34-55,B,DEPARTED,המריאה
SK,3157,SAS,2024-02-04T06:00:00,2024-02-04T06:38:00,D,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,34-55,B,DEPARTED,המריאה
LY,357,EL AL ISRAEL AIRLINES,2024-02-04T06:10:00,2024-02-04T06:40:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,34-55,B,DEPARTED,המריאה
SK,3165,SAS,2024-02-04T06:10:00,2024-02-04T06:40:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,34-55,B,DEPARTED,המריאה
AA,9265,AMERICAN AIRLINES,2024-02-04T06:15:00,2024-02-04T06:48:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,34-55,B,DEPARTED,המריאה
AM,7879,AERO MEXICO,2024-02-04T06:15:00,2024-02-04T06:48:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,34-55,B,DEPARTED,המריאה
AR,7871,AEROLINEAS ARGENTINAS S.A.,2024-02-04T06:15:00,2024-02-04T06:48:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,34-55,B,DEPARTED,המריאה
IB,2394,IBERIA,2024-02-04T06:15:00,2024-02-04T06:48:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,34-55,B,DEPARTED,המריאה
LY,395,EL AL ISRAEL AIRLINES,2024-02-04T06:15:00,2024-02-04T06:48:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,34-55,B,DEPARTED,המריאה
IZ,801,ARKIA  ISRAELI  AIRLINES,2024-02-04T06:30:00,2024-02-04T06:54:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G13-G18,G,DEPARTED,המריאה
LY,082,EL AL ISRAEL AIRLINES,2024-02-04T06:15:00,2024-02-04T07:01:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,LANDED,נחתה
QF,5021,QANTAS AIRWAYS,2024-02-04T06:15:00,2024-02-04T07:01:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,LANDED,נחתה
TG,5483,THAI AIRWAYS,2024-02-04T06:15:00,2024-02-04T07:01:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,LANDED,נחתה
VN,3299,VIETNAM AIRLINES,2024-02-04T06:15:00,2024-02-04T07:01:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,LANDED,נחתה
LY,215,EL AL ISRAEL AIRLINES,2024-02-04T06:20:00,2024-02-04T07:02:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,34-55,B,DEPARTED,המריאה
IB,2392,IBERIA,2024-02-04T06:30:00,2024-02-04T07:04:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,34-55,B,DEPARTED,המריאה
LY,393,EL AL ISRAEL AIRLINES,2024-02-04T06:30:00,2024-02-04T07:04:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,34-55,B,DEPARTED,המריאה
LY,381,EL AL ISRAEL AIRLINES,2024-02-04T06:50:00,2024-02-04T07:07:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,34-55,B,DEPARTED,המריאה
SK,3185,SAS,2024-02-04T06:50:00,2024-02-04T07:07:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,34-55,B,DEPARTED,המריאה
TP,8910,AIR PORTUGAL,2024-02-04T06:50:00,2024-02-04T07:07:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,34-55,B,DEPARTED,המריאה
AR,7877,AEROLINEAS ARGENTINAS S.A.,2024-02-04T06:10:00,2024-02-04T07:13:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,34-55,B,DEPARTED,המריאה
LY,385,EL AL ISRAEL AIRLINES,2024-02-04T06:10:00,2024-02-04T07:13:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,34-55,B,DEPARTED,המריאה
SK,3167,SAS,2024-02-04T06:10:00,2024-02-04T07:13:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,34-55,B,DEPARTED,המריאה
TP,8898,AIR PORTUGAL,2024-02-04T06:10:00,2024-02-04T07:13:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,34-55,B,DEPARTED,המריאה
LY,541,EL AL ISRAEL AIRLINES,2024-02-04T06:50:00,2024-02-04T07:15:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,34-55,B,DEPARTED,המריאה
6H,883,ISRAIR AIRLINES,2024-02-04T07:00:00,2024-02-04T07:24:00,D,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,12-15,A,DEPARTED,המריאה
LY,2365,EL AL ISRAEL AIRLINES,2024-02-04T07:05:00,2024-02-04T07:35:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,34-55,B,DEPARTED,המריאה
LY,573,EL AL ISRAEL AIRLINES,2024-02-04T07:00:00,2024-02-04T07:37:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,34-55,B,DEPARTED,המריאה
LY,2521,EL AL ISRAEL AIRLINES,2024-02-04T07:25:00,2024-02-04T07:46:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,34-55,B,DEPARTED,המריאה
6H,661,ISRAIR AIRLINES,2024-02-04T07:20:00,2024-02-04T08:07:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,15-18,A,DEPARTED,המריאה
6H,041,ISRAIR AIRLINES,2024-02-04T07:30:00,2024-02-04T08:14:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G8-G12,G,DEPARTED,המריאה
EK,2369,EMIRATES,2024-02-04T08:55:00,2024-02-04T08:51:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
FZ,1549,FLYDUBAI,2024-02-04T08:55:00,2024-02-04T08:51:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
WZ,015,RED WINGS AIRLINES,2024-02-04T08:55:00,2024-02-04T08:55:00,A,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,,,CANCELED,מבוטלת
LY,341,EL AL ISRAEL AIRLINES,2024-02-04T08:45:00,2024-02-04T08:56:00,D,GVA,GENEVA,ז'נבה,GENEVA,שוויץ,SWITZERLAND,3,34-55,B,DEPARTED,המריאה
IZ,802,ARKIA  ISRAELI  AIRLINES,2024-02-04T08:55:00,2024-02-04T09:11:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,LANDED,נחתה
AM,7885,AERO MEXICO,2024-02-04T09:00:00,2024-02-04T09:16:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,34-55,B,DEPARTED,המריאה
LY,323,EL AL ISRAEL AIRLINES,2024-02-04T09:00:00,2024-02-04T09:16:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,34-55,B,DEPARTED,המריאה
SK,3163,SAS,2024-02-04T09:00:00,2024-02-04T09:16:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,34-55,B,DEPARTED,המריאה
LY,551,EL AL ISRAEL AIRLINES,2024-02-04T07:30:00,2024-02-04T09:19:00,D,SOF,SOFIA,סופיה,SOFIA,בולגריה,BULGARIA,3,34-55,B,DEPARTED,המריאה
6H,885,ISRAIR AIRLINES,2024-02-04T09:05:00,2024-02-04T09:23:00,D,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,19-22,A,DEPARTED,המריאה
AA,9261,AMERICAN AIRLINES,2024-02-04T09:15:00,2024-02-04T09:35:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,34-55,B,DEPARTED,המריאה
AM,7863,AERO MEXICO,2024-02-04T09:15:00,2024-02-04T09:35:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,34-55,B,DEPARTED,המריאה
LY,315,EL AL ISRAEL AIRLINES,2024-02-04T09:15:00,2024-02-04T09:35:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,34-55,B,DEPARTED,המריאה
SK,3181,SAS,2024-02-04T09:15:00,2024-02-04T09:35:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,34-55,B,DEPARTED,המריאה
IZ,211,ARKIA  ISRAELI  AIRLINES,2024-02-04T09:35:00,2024-02-04T09:47:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,26-29,A,DEPARTED,המריאה
WZ,016,RED WINGS AIRLINES,2024-02-04T09:55:00,2024-02-04T09:55:00,D,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,1-3,A,CANCELED,מבוטלת
6H,042,ISRAIR AIRLINES,2024-02-04T10:00:00,2024-02-04T10:19:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,LANDED,נחתה
6H,043,ISRAIR AIRLINES,2024-02-04T10:20:00,2024-02-04T10:20:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G10-G13,G,CANCELED,מבוטלת
EK,2370,EMIRATES,2024-02-04T10:10:00,2024-02-04T10:22:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,12-18,A,DEPARTED,המריאה
