COMPANY_NAME,COMPANY_SITE,PRIMARY_OCCUPATION,STATUS,GOVERMENT_OFFICE
"א.ת. אפיקי תקשורת בע""מ","http://www.atcc.co.il/"," ","ממשלתית","התקשורת"
"אולם נחמני בע""מ","","לנהל ולתחזק את אולם נחמני 4 ולהשכירו למופעי תרבות ובידור","ממשלתית","האוצר"
"איסורד בע""מ","","יצור ומסחור פתוחי המרכז למחקר גרעיני שורק.","ממשלתית","ראש הממשלה"
"אלתא מערכות בע""מ","http://www.iai.co.il/","ייצור ופיתוח ציוד ומערכות אלקטרוניות","בת ממשלתית","הביטחון"
"אמריליס בע""מ","","לייעץ לגופים בי""ל בדבר הקמה, תכנון פיתוח ותפעול של נמלים בעולם. לשתף פעולה, בכפוף לאישור שר התחבורה ושר האוצר והממשלה, עם גופים בי""ל, לרבות בדרך של הקמת חברות  או תאגידים יעודיים","בת ממשלתית","התחבורה והבטיחות בדרכים"
"אשרא החברה הישראלית לביטוח סיכוני סחר חוץ בע""מ","http://www.ashra.gov.il/","ביטוח יצוא - מבטחת עסקאות יצוא באשראי לטווח בינוני וארוך (שנה עד עשר שנים) והשקעות בחו""ל. החברה מבטחת חלק ניכר מהיצוא הישראלי לשווקים מתפתחים כנגד סיכונים פוליטיים וסיכונים מסחריים","ממשלתית","הכלכלה"
"בית הספר המרכזי למלונאות בע""מ - תדמור","http://tadmor-school.co.il/","קיום קורסי הכשרת תלמידים בתחומי מלונאות, תיירות, מזון, הארחה, טבחות, קונדיטוריה, ניהול מלונות, משק וקבלה.
ניהול בית מלון (""תדמור"")","ממשלתית","התיירות"
"בית התפוצות","http://www.bh.org.il/he/","הקמת והפעלת מוזיאון למורשת היהדות, מרכז עולמי למחקר, לידע ולתעוד של יהדות בת זמננו שישמש להעמקת ידיעותיהם של תושבי ישראל ויהודי התפוצותעל קהילות ישראל ברחבי העולם, לימוד הדרמה האנו","מעורבת","התרבות והספורט"
"דירה להשכיר - החברה הממשלתית לדיור להשכרה בע""מ","http://www.aprent.co.il/","קידום דיור במסגרת הפרויקט הלאומי לדיור.","ממשלתית","הבינוי והשיכון"
"האיגוד, חברה להעברת טכנולוגיה","http://www.haigud.org.il/","זרוע ביצועית, כספית ומנהלית למש""ב - האגף לשיתוף פעולה בינלאומי במשרד החוץ","ממשלתית","החוץ"
