COMPANY_NAME,ROLE,FIRST_NAME,LAST_NAME
"חברת החשמל לישראל בע""מ","מנכ""ל","מאיר","שפיגלר בן אורי"
"חברת החשמל לישראל בע""מ","דירקטור","ענת","אורן אלעד"
"חברת החשמל לישראל בע""מ","דירקטור","ניסים","אלון"
"חברת החשמל לישראל בע""מ","דירקטור","אפרים","הניג"
"חברת החשמל לישראל בע""מ","דירקטור","דיאנה","חלבי"
"חברת החשמל לישראל בע""מ","דירקטור","דבורה","חסיד"
"חברת החשמל לישראל בע""מ","דירקטור","עינב","חשאי"
"חברת החשמל לישראל בע""מ","דירקטור","אברהם","מנלה"
"חברת החשמל לישראל בע""מ","דח""צ","שלמה","ארביב"
"חברת החשמל לישראל בע""מ","דח""צ","מיכאל","שניידר"
"תומר - חברה ממשלתית בע""מ","מנכ""ל","מורדי ","בן עמי "
"תומר - חברה ממשלתית בע""מ","יו""ר","רוני","מורנו"
"תומר - חברה ממשלתית בע""מ","דירקטור","מיכל","בן מובחר"
"תומר - חברה ממשלתית בע""מ","דירקטור","מנחם","הבלין"
"תומר - חברה ממשלתית בע""מ","דירקטור","רוני","מורנו"
"תומר - חברה ממשלתית בע""מ","דירקטור","אהרון","מרמוריש"
"עמידר החדשה החברה הלאומית לשכון בישראל בע""מ","מנכ""ל","אליעזר","בן מאיר"
"עמידר החדשה החברה הלאומית לשכון בישראל בע""מ","יו""ר","יאיר","זילברשטיין"
"עמידר החדשה החברה הלאומית לשכון בישראל בע""מ","דירקטור","יעל","אילוז אקרם"
"עמידר החדשה החברה הלאומית לשכון בישראל בע""מ","דירקטור","נתן","ביטון"
"עמידר החדשה החברה הלאומית לשכון בישראל בע""מ","דירקטור","גלעד","בר אדון"
"עמידר החדשה החברה הלאומית לשכון בישראל בע""מ","דירקטור","יאיר","זילברשטיין"
"עמידר החדשה החברה הלאומית לשכון בישראל בע""מ","דירקטור","אלדד","מזרחי"
"עמידר החדשה החברה הלאומית לשכון בישראל בע""מ","דירקטור","פאר","נדיר"
"עמידר החדשה החברה הלאומית לשכון בישראל בע""מ","דירקטור","הלנה","רבליס"
"עמידר החדשה החברה הלאומית לשכון בישראל בע""מ","דח""צ","אלה","ויימן"
"מקורות חברת המים בע""מ","מנכ""ל","עמית","לנג"
"מקורות חברת המים בע""מ","יו""ר","יצחק","אהרונוביץ"
"מקורות חברת המים בע""מ","דירקטור","יצחק","אהרונוביץ"
"מקורות חברת המים בע""מ","דירקטור","דלית","אוחיון ויזל"
"מקורות חברת המים בע""מ","דירקטור","ניצן","בן מוחה"
"מקורות חברת המים בע""מ","דירקטור","רונית","לרנר"
"מקורות חברת המים בע""מ","דירקטור","יורם","מוטעי"
"מקורות חברת המים בע""מ","דירקטור","עטאללה","סבאג"
"מקורות חברת המים בע""מ","דירקטור","חיים","פרלוק"
"מקורות חברת המים בע""מ","דח""צ","נעמי","אנוך"
"נתיב האור בע""מ","מנכ""ל","גיל","דותן"
"נתיב האור בע""מ","דירקטור","הילה","שפילמן"
"תעבורה ימית חיפה בע""מ","מנכ""ל","מוטי","ווטרו"
"תעבורה ימית חיפה בע""מ","יו""ר","יצחק","בלומנטל"
"תעבורה ימית חיפה בע""מ","דירקטור","נעם","אורלי"
"תעבורה ימית חיפה בע""מ","דירקטור","יצחק","בלומנטל"
"תעבורה ימית חיפה בע""מ","דירקטור","מורן","ברק"
"תעבורה ימית חיפה בע""מ","דירקטור","שרית","טיר בכר"
"תעבורה ימית חיפה בע""מ","דירקטור","אורון","מסילתי"
"תעבורה ימית חיפה בע""מ","דירקטור","עמית","מרזאי"
"תעבורה ימית חיפה בע""מ","דירקטור","אנוור","משלב"
"תעבורה ימית חיפה בע""מ","דירקטור","סיגלית נוי","קמה"
"תעבורה ימית אשדוד בע""מ","מנכ""ל","אביחי","חתוכה"
"תעבורה ימית אשדוד בע""מ","יו""ר","יצחק","בלומנטל"
"תעבורה ימית אשדוד בע""מ","דירקטור","דניאלה","אוסטרובסקי פרסלר"
"תעבורה ימית אשדוד בע""מ","דירקטור","אוהד","אלקבץ"
"תעבורה ימית אשדוד בע""מ","דירקטור","יצחק","בלומנטל"
"תעבורה ימית אשדוד בע""מ","דירקטור","שאול","הר-צבי"
"תעבורה ימית אשדוד בע""מ","דירקטור","יפעת","חורי"
"תעבורה ימית אשדוד בע""מ","דירקטור","צחי","נחום"
"תעבורה ימית אשדוד בע""מ","דירקטור","אורטל","ניב"
"תעבורה ימית אשדוד בע""מ","דירקטור","אסי","קריספין"
"בית הספר המרכזי למלונאות בע""מ - תדמור","מנכ""ל","צבי","שפיס"
"המכון הגיאופיסי לישראל","מנכ""ל","הנרי אורי","פיצ'וטו"
"המכון הגיאופיסי לישראל","יו""ר","דוד","גילת"
"המכון הגיאופיסי לישראל","דירקטור","אילת","אליאב"
"המכון הגיאופיסי לישראל","דירקטור","לינדה","אשכנזי"
"המכון הגיאופיסי לישראל","דירקטור","דוד","גילת"
"המכון הגיאופיסי לישראל","דירקטור","דוד","כהן"
"המכון הגיאופיסי לישראל","דירקטור","דינה","פרומוביץ"
"המכון הגיאופיסי לישראל","דירקטור","עידו","רוזוליו"
"חברת ""המשקם"" לתעסוקת קשישים ובעלי כושר עבודה מוגבל בע""מ","דירקטור","אשר","אלחיאני"
"חברת ""המשקם"" לתעסוקת קשישים ובעלי כושר עבודה מוגבל בע""מ","דירקטור","ליאור","גבאי"
"חברת ""המשקם"" לתעסוקת קשישים ובעלי כושר עבודה מוגבל בע""מ","דירקטור","אורית","שבתאי פרנק"
"חברה למפעלי כלכלה ותרבות לעובדי המדינה בע""מ","מנכ""ל","אסתר","שלם"
"חברה למפעלי כלכלה ותרבות לעובדי המדינה בע""מ","דירקטור","יעל","דולב"
"חברה למפעלי כלכלה ותרבות לעובדי המדינה בע""מ","דירקטור","סופי","עופר"
"חברה למפעלי כלכלה ותרבות לעובדי המדינה בע""מ","דירקטור","דניאל","פדון"
"חברה למפעלי כלכלה ותרבות לעובדי המדינה בע""מ","דירקטור","נילי","שגיב"
"החברה לחינוך ימי בישראל (בתיה""ס הימיים)","דירקטור","זאב","ליכטנפלד"
"ח.ל.ד חברה ממשלתית עירונית לשיקום דיור ופיתוח בע""מ","דירקטור","וונדה","אקלה"
"פרזות - חברה ממשלתית עירונית לשיכון ירושלים בע""מ","דירקטור","טלי","סימון"
"חלמיש - חברה ממשלתית עירונית לדיור לשקום ולהתחדשות שכונות בת""א יפו בע""","מנכ""ל","תמיר","היזמי"
"חלמיש - חברה ממשלתית עירונית לדיור לשקום ולהתחדשות שכונות בת""א יפו בע""","יו""ר","אברהם","נתן"
"חלמיש - חברה ממשלתית עירונית לדיור לשקום ולהתחדשות שכונות בת""א יפו בע""","דירקטור","עמית","גריידי"
"חלמיש - חברה ממשלתית עירונית לדיור לשקום ולהתחדשות שכונות בת""א יפו בע""","דירקטור","אברהם","נתן"
"שקמונה חברה ממשלתית עירונית לשקום הדיור בחיפה בע""מ","מנכ""ל","רות","גולדנברג"
"שקמונה חברה ממשלתית עירונית לשקום הדיור בחיפה בע""מ","דירקטור","לוי לידור","בונן"
"שקמונה חברה ממשלתית עירונית לשקום הדיור בחיפה בע""מ","דירקטור","דליה","סבג"
"החברה הממשלתית לתיירות בע""מ","מנכ""ל","עידן","מועלם"
"החברה הממשלתית לתיירות בע""מ","יו""ר","סמי","בקלש"
"החברה הממשלתית לתיירות בע""מ","דירקטור","רונית","בדלר"
"החברה הממשלתית לתיירות בע""מ","דירקטור","סמי","בקלש"
"החברה הממשלתית לתיירות בע""מ","דירקטור","סאמי","ברקת"
"החברה הממשלתית לתיירות בע""מ","דירקטור","בשאר","מדאח"
"החברה הממשלתית לתיירות בע""מ","דירקטור","מאיר","סהר"
"החברה הממשלתית לתיירות בע""מ","דירקטור","בריאן","שפושניק"
"החברה הממשלתית לתיירות בע""מ","מנכ""ל בפועל","אלעד","ארנפלד"
"תשתיות אנרגיה בע""מ","מנכ""ל","עוזי","לוין"
"תשתיות אנרגיה בע""מ","יו""ר","משה","קלצ'ין"
"תשתיות אנרגיה בע""מ","דירקטור","יאיר","אריאלי"
"תשתיות אנרגיה בע""מ","דירקטור","אמין","ח'לף"
